CODIGO,DEPARTAMENTO,PROVINCIA,ATM,ANIO,SEMESTRE,ALCALDE,CCPP_TOTAL,CCPP_SERV,CCPP_SIST_AGUA,CCPP_SIST_NCONV,CCPP_SIST_CONV,CCPP_ABAST_CCPP,CCPP_HAB_01,CCPP_HAB_02,CCPP_HAB_03,CCPP_MICROMED,ATM_GESTION,UNIDAD_ORGANICA,MONTO_POI,PRESTADOR_CUOTA,PRESTADOR_CUOTA_INCREM,PRESTADOR_CUOTA_SUNASS
CUE-00240,LIMA,HUARAL,LAMPIAN,2019,SEM-II,CALIN ALBERTO LOPEZ BAZAN,32,2,2,0,2,0,0,0,0,0,SI,DESARROLLO SOCIAL Y COMUNAL,0.00,1,0,0
CUE-00241,JUNIN,CONCEPCION,ORTOCUNA,2019,SEM-II,MARIO ANTONIO GRANDE BUENO,4,4,4,0,4,1,1,1,1,1,SI,GERENCIA DE SERVICIOS PÚBLICOS Y COMUNALES,10054.00,5,0,0
CUE-00243,PUNO,HUANCANE,PUSI,2019,SEM-II,COSME ROBER ASCUÑA AQUISE,63,19,22,0,22,2,0,0,0,0,SI,SUB GERENCIA DE MEDIO AMBIENTE Y SERVICIOS PUBLICOS,23000.00,15,0,0
CUE-00246,PUNO,YUNGUYO,TINICACHI,2019,SEM-II,VIDAL CESAR UCHASARA SUXO,5,4,5,0,5,0,0,0,0,0,SI,OFICINA DE INFRAESTRUCTURA Y OBRAS,16000.00,4,0,0
CUE-00248,LIMA,HUAROCHIRI,SANTO DOMINGO DE LOS OLLEROS,2019,SEM-II,AMALQUIO JUSTINO JAVIER REYES,52,6,6,0,6,0,0,0,0,0,SI,GERENCIA DE DESARROLLO HUMANO E INCLUSION SOCIAL,210.20,3,1,0
CUE-00249,LIMA,CANTA,SANTA ROSA DE QUIVES,2019,SEM-II,ALFREDO SOLIS HUAMAN,52,18,17,0,17,1,0,0,0,0,SI,GERENCIA DE SERVICIOS A LA CIUDAD,21860.00,11,0,0
CUE-00250,LIMA,CAÑETE,COAYLLO,2019,SEM-II,ALEXANDER CHUQUIZUTA HUAPAYA,24,4,4,0,4,0,0,0,0,1,SI,DESARROLLO HUMANO,72224.00,4,0,4
CUE-00251,LIMA,HUAROCHIRI,LAHUAYTAMBO,2019,SEM-II,CESAR EVANGELISTA LLAULLIPOMA,30,5,5,0,5,0,0,0,0,0,SI,SERVICIOS COMUNALES Y SOCIALES,18307.00,1,0,0
CUE-00253,PUNO,YUNGUYO,COPANI,2019,SEM-II,ROGER CCALLI CHINO,29,10,6,0,6,1,0,0,0,0,SI,ADMINISTRACION,69.00,1,0,0
CUE-00254,PUNO,SAN ANTONIO DE PUTINA,QUILCAPUNCU,2019,SEM-II,JOSE GIL MAMANI,34,13,11,,,0,0,0,0,0,SI,UNIDAD DE MEDIO AMBIENTE Y DESARROLLO SOSTENIBLE,53600.00,2,6,0
CUE-00256,LIMA,HUAROCHIRI,SAN BARTOLOME,2019,SEM-II,Rodrigo Enrique Chavez Vivas,50,3,3,0,3,0,0,0,0,0,SI,OFICINA DE MEDIO AMBIENTE Y SANEAMIENTO BASICO,8455.00,1,0,0
CUE-00257,LIMA,HUARAL,HUARAL,2019,SEM-II,JAIME URIBE CIRILO,90,11,11,0,11,0,2,2,0,5,SI,gerencia de desarrollo social y participación ciudadano,0.00,10,2,0
CUE-00258,LIMA,HUAROCHIRI,SAN JUAN DE IRIS,2019,SEM-II,Manuel Jesus Huanca Lozano,5,1,1,0,1,0,0,0,0,0,NO,,,0,0,0
CUE-00259,LIMA,YAUYOS,TUPE,2019,SEM-II,TITO ITURRIZAGA BLAS,3,3,3,0,3,0,0,0,0,0,SI,AREA DE SERVICIOS COMUNALES Y SOCIALES,11.44,0,0,0
CUE-00260,PUNO,AZANGARO,JOSE DOMINGO CHOQUEHUANCA,2019,SEM-II,Agustin Ramos Parqui,9,5,5,0,0,0,1,1,0,0,SI,Medio Ambiente,,5,0,0
CUE-00261,LIMA,HUAROCHIRI,CARAMPOMA,2019,SEM-II,Lucio Pedro JULCA MATEO,1,1,1,0,1,0,0,0,0,0,NO,,,0,0,0
CUE-00262,PUNO,HUANCANE,TARACO,2019,SEM-II,DAVID PARISUAÑA APAZA,94,1,1,0,1,0,0,0,0,0,SI,SUB GERENCIA DE MEDIO AMBIENTE,26000.00,0,0,0
CUE-00263,LIMA,CAJATAMBO,HUANCAPON,2019,SEM-II,MIGUEL DANTE VENTOCILLA ASCARRUZ,5,5,5,0,5,0,0,0,0,0,SI,ÁREA DE PROGRAMAS SOCIALES,21110.00,5,0,0
CUE-00264,CUSCO,ACOMAYO,MOSOC LLACTA,2019,SEM-II,ISAAC ESPINOZA ANARPUMA,15,15,9,4,5,4,0,0,0,0,SI,SECRETARÍA GENERAL,47824.00,5,1,0
CUE-00266,LIMA,HUAROCHIRI,CUENCA,2019,SEM-II,LINDER YANAVILCA CUELLAR,24,3,3,0,3,0,0,0,0,0,SI,AREA DE SERVICIOS COMUNALES Y SOCIALES,20.00,3,0,0
CUE-00271,PUNO,AZANGARO,CAMINACA,2019,SEM-II,RICHARD EDWIN CHARCA RODRIGUEZ,32,5,2,4,2,3,0,0,0,2,SI,SUB GERENCIA DE MEDIO AMBIENTE Y SERVICIOS PÚBLICOS,22247.50,2,0,0
CUE-00272,LAMBAYEQUE,LAMBAYEQUE,JAYANCA,2019,SEM-II,JULIO CESAR MUNDACA NUNURA,51,19,19,0,19,2,19,19,2,0,SI,SUB GERENCIA DE SERVICIOS PUBLICOS Y GESTION AMBIENTAL,109.07,19,0,0
CUE-00274,MADRE DE DIOS,TAHUAMANU,IBERIA,2019,SEM-II,GUSTAVO MAMANI TICONA,17,2,2,0,2,0,1,1,0,0,SI,GERENCIA DE SERVICIOS PUBLICOS Y GESTION AMBIENTAL,1500.00,1,0,0
CUE-00277,CUSCO,LA CONVENCION,VILLA VIRGEN,2019,SEM-II,WILBER MOZO LLOCCLLA,10,4,4,1,0,0,0,0,0,0,SI,SUBGERENCIA DE DESARROLLO ECONÓMICO LOCAL Y MEDIO AMBIENTE,78078.00,4,0,0
CUE-00282,PUNO,CARABAYA,OLLACHEA,2019,SEM-II,CARLOS ARTURO NINA ALFEREZ,58,8,9,0,9,1,1,1,0,0,SI,SUB GERENCIA DE MEDIO AMBIENTE SERVICIOS PUBLICOS Y TERRITORIALIDAD,26000.00,0,0,0
CUE-00283,CUSCO,URUBAMBA,HUAYLLABAMA,2019,SEM-II,AMILCAR CUSICUNA ALVARES,35,30,8,1,1,17,2,2,0,0,SI,SUB GERENCIA DE DESARROLLO ECONOMICO LOCAL Y MEDIO AMBIENTE,75.00,7,0,0
